epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,13787.9,1.54765,2.1905,1.56434,0.01247,0.63005,0.5413,0.49148,0.47867,0.29409,0.50607,0.48322,0.46713,0.30925,1.62442,2.3793,1.75396,0.02759,0,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,14023.7,1.55143,2.19832,1.53719,0.01212,0.63155,0.60774,0.50497,0.4951,0.31063,0.61309,0.49281,0.48946,0.31937,1.61804,2.38148,1.76654,0.02707,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,14261.4,1.53056,2.15293,1.50642,0.01223,0.62293,0.66828,0.48185,0.49142,0.30327,0.66247,0.47565,0.48403,0.31368,1.62312,2.34967,1.70797,0.02748,0,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,14498.1,1.54072,2.19803,1.51603,0.012,0.62434,0.55011,0.46705,0.49484,0.30512,0.56166,0.46551,0.48499,0.32077,1.62767,2.33353,1.72972,0.02749,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,14733.7,1.51831,2.13805,1.49792,0.01183,0.6295,0.66918,0.47262,0.5072,0.32077,0.68705,0.46313,0.49313,0.32832,1.61535,2.35333,1.74821,0.02689,0,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,14971,1.53448,2.15586,1.48658,0.01175,0.61017,0.69071,0.45512,0.47932,0.30495,0.69261,0.45615,0.47266,0.31547,1.60705,2.372,1.72798,0.02635,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,15207.8,1.52874,2.14985,1.48048,0.01198,0.60381,0.54276,0.46756,0.48409,0.30181,0.54364,0.46317,0.4725,0.31531,1.62437,2.38929,1.71938,0.02728,0,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,15444.2,1.51059,2.13064,1.47132,0.01165,0.61291,0.67378,0.49016,0.50904,0.32586,0.61829,0.48221,0.49566,0.32791,1.60877,2.35471,1.72294,0.02675,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,15681.7,1.52095,2.14521,1.48975,0.01164,0.60069,0.58872,0.47655,0.50073,0.30574,0.6055,0.46478,0.4884,0.32243,1.62801,2.4012,1.71124,0.02721,0,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,15918.2,1.52505,2.13127,1.48039,0.01161,0.59028,0.5726,0.48922,0.50347,0.31488,0.58997,0.4809,0.49265,0.32934,1.60855,2.37041,1.71876,0.02647,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
