epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
67,3850.98,1.20101,2.27064,0.45493,0.01628,0.72266,0.23062,0.24485,0.18082,0.1038,0.21128,0.24235,0.17662,0.10751,1.17025,2.54078,0.51435,0.01519,0,0.000470145,0.000470145,0.000470145
68,3904.76,1.21485,2.27163,0.44474,0.01778,0.72656,0.29736,0.24086,0.21649,0.12297,0.26961,0.22327,0.20637,0.12475,1.16829,2.56561,0.51181,0.01546,0,0.000464647,0.000464647,0.000464647
69,3960.95,1.24378,2.31599,0.44311,0.01835,0.72231,0.29392,0.30212,0.22743,0.13305,0.30512,0.30245,0.22687,0.13175,1.16151,2.50745,0.51784,0.01537,0,0.00045915,0.00045915,0.00045915
70,4019.3,1.22152,2.28909,0.4443,0.01731,0.72214,0.25616,0.27804,0.21603,0.12456,0.2557,0.27812,0.20928,0.12482,1.17962,2.61244,0.504,0.01512,0,0.000453652,0.000453652,0.000453652
71,4077.66,1.17845,2.23843,0.44671,0.01679,0.72067,0.24152,0.27716,0.20643,0.12288,0.24667,0.27912,0.20853,0.12186,1.16431,2.54739,0.51562,0.01509,0,0.000448154,0.000448154,0.000448154
72,4131.86,1.19185,2.18774,0.4385,0.01612,0.70647,0.28589,0.33108,0.22532,0.13388,0.28794,0.33611,0.22108,0.13433,1.14394,2.54631,0.50378,0.01464,0,0.000442656,0.000442656,0.000442656
73,4189.23,1.18151,2.22881,0.44256,0.01641,0.70984,0.28222,0.30797,0.22418,0.13551,0.27746,0.30236,0.22064,0.13109,1.13676,2.54251,0.51068,0.01459,0,0.000437158,0.000437158,0.000437158
74,4246.29,1.19553,2.21519,0.44151,0.017,0.69722,0.2741,0.32779,0.23035,0.13276,0.2579,0.31625,0.22233,0.12767,1.13948,2.5699,0.50723,0.01418,0,0.000431661,0.000431661,0.000431661
75,4301.7,1.17308,2.21268,0.43624,0.01634,0.69445,0.29352,0.25362,0.21435,0.12947,0.30046,0.25859,0.21505,0.12663,1.13105,2.53984,0.50877,0.01453,0,0.000426163,0.000426163,0.000426163
76,4361.82,1.16896,2.18912,0.44666,0.01681,0.71398,0.30853,0.29027,0.23761,0.13965,0.30232,0.28452,0.23022,0.14092,1.13182,2.55754,0.5093,0.01456,0,0.000420665,0.000420665,0.000420665
77,4419.11,1.1477,2.16765,0.43659,0.01605,0.71152,0.28768,0.32457,0.23044,0.13607,0.27779,0.31815,0.22284,0.13687,1.13321,2.50896,0.50326,0.01455,0,0.000415167,0.000415167,0.000415167
78,4476.13,1.17136,2.17537,0.43389,0.01643,0.6908,0.28814,0.29616,0.22463,0.13186,0.28294,0.29319,0.22365,0.12946,1.1246,2.5252,0.5037,0.01439,0,0.000409669,0.000409669,0.000409669
79,4531.79,1.13501,2.12555,0.43652,0.01568,0.69619,0.32212,0.30724,0.25346,0.14952,0.31163,0.30935,0.2523,0.14579,1.12137,2.53784,0.49711,0.01444,0,0.000404172,0.000404172,0.000404172
80,4587.11,1.15284,2.16304,0.43312,0.01574,0.67053,0.30839,0.30743,0.26263,0.15707,0.33438,0.30147,0.26165,0.16021,1.13364,2.46079,0.48907,0.01467,0,0.000398674,0.000398674,0.000398674
81,4643.3,1.09836,2.102,0.42768,0.01446,0.6803,0.32895,0.26,0.24087,0.14543,0.29931,0.27096,0.24063,0.1423,1.11633,2.56203,0.50127,0.01447,0,0.000393176,0.000393176,0.000393176
82,4702.71,1.18358,2.20253,0.43252,0.01681,0.67967,0.32547,0.28017,0.24192,0.14212,0.33586,0.26952,0.24281,0.14216,1.12918,2.58955,0.51199,0.0142,0,0.000387678,0.000387678,0.000387678
83,4758.49,1.12284,2.13121,0.43175,0.01523,0.65781,0.31531,0.31003,0.24614,0.14921,0.3117,0.30816,0.24749,0.1512,1.112,2.51321,0.49622,0.01391,0,0.00038218,0.00038218,0.00038218
84,4813.61,1.19007,2.17855,0.41999,0.01701,0.65842,0.31884,0.31174,0.25473,0.14742,0.32024,0.31663,0.24513,0.14737,1.15735,2.65538,0.51193,0.01494,0,0.000376683,0.000376683,0.000376683
85,4870.06,1.12573,2.09218,0.42625,0.01543,0.66323,0.31755,0.29852,0.25509,0.15914,0.31429,0.30253,0.25278,0.15432,1.12062,2.62252,0.49602,0.01423,0,0.000371185,0.000371185,0.000371185
86,4928.04,1.11186,2.03905,0.41933,0.01472,0.6495,0.37102,0.28269,0.27657,0.1656,0.35833,0.28845,0.27298,0.15744,1.12586,2.5586,0.49495,0.0142,0,0.000365687,0.000365687,0.000365687
87,4984.44,1.17163,2.14282,0.4173,0.01644,0.6693,0.31761,0.30228,0.25044,0.15352,0.31572,0.3009,0.24597,0.14935,1.10728,2.5348,0.48998,0.01405,0,0.000360189,0.000360189,0.000360189
88,5039.81,1.13056,2.06069,0.41656,0.01597,0.64678,0.31369,0.29038,0.24136,0.14455,0.309,0.29968,0.23525,0.1412,1.12288,2.52987,0.49568,0.01447,0,0.000354691,0.000354691,0.000354691
89,5099.49,1.13967,2.0846,0.41603,0.01599,0.65546,0.34564,0.31371,0.26619,0.16244,0.3433,0.3053,0.26667,0.15982,1.1355,2.49022,0.4927,0.01442,0,0.000349194,0.000349194,0.000349194
90,5155.19,1.14248,2.10066,0.41396,0.01575,0.64713,0.31082,0.31398,0.26066,0.16031,0.28812,0.31533,0.2534,0.15386,1.11399,2.56048,0.48835,0.01446,0,0.000343696,0.000343696,0.000343696
91,5215.76,1.10436,2.04561,0.41455,0.01496,0.64639,0.3519,0.27577,0.27009,0.16843,0.3024,0.28254,0.26587,0.16487,1.10189,2.48461,0.49045,0.01421,0,0.000338198,0.000338198,0.000338198
92,5277.06,1.11777,2.08746,0.41999,0.01561,0.65478,0.38515,0.31575,0.27233,0.16592,0.38672,0.31481,0.26697,0.16507,1.11152,2.50435,0.49822,0.01396,0,0.0003327,0.0003327,0.0003327
93,5332.68,1.11989,2.05162,0.40778,0.0156,0.64251,0.33465,0.28814,0.2582,0.15724,0.3511,0.27802,0.2493,0.15895,1.12088,2.44418,0.49043,0.01443,0,0.000327202,0.000327202,0.000327202
94,5389.98,1.13585,2.10484,0.41139,0.01594,0.63951,0.31148,0.32289,0.2644,0.16585,0.30928,0.31376,0.25818,0.15737,1.11742,2.60382,0.49177,0.01442,0,0.000321705,0.000321705,0.000321705
95,5444.64,1.13445,2.05077,0.40725,0.01568,0.6363,0.30174,0.31849,0.26265,0.1592,0.29032,0.30413,0.25361,0.15345,1.11477,2.52944,0.48634,0.01421,0,0.000316207,0.000316207,0.000316207
96,5505.78,1.09011,2.01518,0.41376,0.01483,0.63487,0.31601,0.31643,0.27465,0.1646,0.32668,0.3111,0.27153,0.16572,1.12722,2.54064,0.49215,0.01469,0,0.000310709,0.000310709,0.000310709
97,5562.7,1.17322,2.12861,0.40317,0.01722,0.64473,0.33936,0.34286,0.2747,0.16659,0.34134,0.34266,0.27283,0.15958,1.12737,2.56575,0.49018,0.01457,0,0.000305211,0.000305211,0.000305211
98,5619.99,1.12124,2.03223,0.40158,0.01576,0.61558,0.30351,0.32326,0.26896,0.16416,0.3013,0.32208,0.26326,0.16612,1.11687,2.48435,0.49055,0.01451,0,0.000299713,0.000299713,0.000299713
99,5678.92,1.10124,2.01223,0.40388,0.01526,0.6233,0.31196,0.30277,0.25898,0.15987,0.3143,0.31174,0.25868,0.16365,1.13548,2.6094,0.48742,0.01454,0,0.000294216,0.000294216,0.000294216
